year,country_code,country_name,value,unit,source
1960,AUS,Australia,1619.42657975102,LCU per capita,World Bank
1961,AUS,Australia,1674.61604502528,LCU per capita,World Bank
1962,AUS,Australia,1660.77080618134,LCU per capita,World Bank
1963,AUS,Australia,1751.32420091324,LCU per capita,World Bank
1964,AUS,Australia,1902.74917166652,LCU per capita,World Bank
1965,AUS,Australia,2042.58868984896,LCU per capita,World Bank
1966,AUS,Australia,2088.23276971934,LCU per capita,World Bank
1967,AUS,Australia,2287.48198999915,LCU per capita,World Bank
1968,AUS,Australia,2409.69273045216,LCU per capita,World Bank
1969,AUS,Australia,2631.98238603931,LCU per capita,World Bank
1970,AUS,Australia,2917.48620772367,LCU per capita,World Bank
1971,AUS,Australia,3086.34150112082,LCU per capita,World Bank
1972,AUS,Australia,3366.24421340214,LCU per capita,World Bank
1973,AUS,Australia,3725.78475336323,LCU per capita,World Bank
1974,AUS,Australia,4383.44385338483,LCU per capita,World Bank
1975,AUS,Australia,5139.8546030375,LCU per capita,World Bank
1976,AUS,Australia,5939.35722938787,LCU per capita,World Bank
1977,AUS,Australia,6731.04565952649,LCU per capita,World Bank
1978,AUS,Australia,7228.86195849004,LCU per capita,World Bank
1979,AUS,Australia,8082.26539892518,LCU per capita,World Bank
1980,AUS,Australia,9066.56683909611,LCU per capita,World Bank
1981,AUS,Australia,10175.4576412929,LCU per capita,World Bank
1982,AUS,Australia,11360.9848417245,LCU per capita,World Bank
1983,AUS,Australia,12210.4356963783,LCU per capita,World Bank
1984,AUS,Australia,13551.3641065944,LCU per capita,World Bank
1985,AUS,Australia,14709.6789067761,LCU per capita,World Bank
1986,AUS,Australia,15995.342841179,LCU per capita,World Bank
1987,AUS,Australia,17287.3941350013,LCU per capita,World Bank
1988,AUS,Australia,19268.9232940104,LCU per capita,World Bank
1989,AUS,Australia,21305.8247161245,LCU per capita,World Bank
1990,AUS,Australia,22889.5441042106,LCU per capita,World Bank
1991,AUS,Australia,23065.0410586972,LCU per capita,World Bank
1992,AUS,Australia,23283.4543429736,LCU per capita,World Bank
1993,AUS,Australia,24520.1989156899,LCU per capita,World Bank
1994,AUS,Australia,25630.6096531695,LCU per capita,World Bank
1995,AUS,Australia,26591.1212303419,LCU per capita,World Bank
1996,AUS,Australia,27998.9862147483,LCU per capita,World Bank
1997,AUS,Australia,29201.4286243902,LCU per capita,World Bank
1998,AUS,Australia,30669.0003387866,LCU per capita,World Bank
1999,AUS,Australia,32022.5146744698,LCU per capita,World Bank
2000,AUS,Australia,33821.4670581995,LCU per capita,World Bank
2001,AUS,Australia,35674.2758292334,LCU per capita,World Bank
2002,AUS,Australia,37749.939600548,LCU per capita,World Bank
2003,AUS,Australia,39579.098894732,LCU per capita,World Bank
2004,AUS,Australia,42117.2783125155,LCU per capita,World Bank
2005,AUS,Australia,44168.1563281155,LCU per capita,World Bank
2006,AUS,Australia,46979.345621131,LCU per capita,World Bank
2007,AUS,Australia,49959.3760631915,LCU per capita,World Bank
2008,AUS,Australia,53245.1599705005,LCU per capita,World Bank
2009,AUS,Australia,56109.6012369366,LCU per capita,World Bank
2010,AUS,Australia,56901.7894629342,LCU per capita,World Bank
2011,AUS,Australia,60947.5620975161,LCU per capita,World Bank
2012,AUS,Australia,64004.101442521,LCU per capita,World Bank
2013,AUS,Australia,64810.3873858538,LCU per capita,World Bank
2014,AUS,Australia,66344.0037492408,LCU per capita,World Bank
2015,AUS,Australia,66803.5494632914,LCU per capita,World Bank
