year,country_code,country_name,value,unit,source
1990,AUS,Australia,16780.0,USD (PPP),World Bank
1991,AUS,Australia,17120.0,USD (PPP),World Bank
1992,AUS,Australia,17550.0,USD (PPP),World Bank
1993,AUS,Australia,18710.0,USD (PPP),World Bank
1994,AUS,Australia,19730.0,USD (PPP),World Bank
1995,AUS,Australia,20310.0,USD (PPP),World Bank
1996,AUS,Australia,21350.0,USD (PPP),World Bank
1997,AUS,Australia,22350.0,USD (PPP),World Bank
1998,AUS,Australia,23610.0,USD (PPP),World Bank
1999,AUS,Australia,24690.0,USD (PPP),World Bank
2000,AUS,Australia,25780.0,USD (PPP),World Bank
2001,AUS,Australia,26870.0,USD (PPP),World Bank
2002,AUS,Australia,28250.0,USD (PPP),World Bank
2003,AUS,Australia,29270.0,USD (PPP),World Bank
2004,AUS,Australia,30860.0,USD (PPP),World Bank
2005,AUS,Australia,31810.0,USD (PPP),World Bank
2006,AUS,Australia,33490.0,USD (PPP),World Bank
2007,AUS,Australia,35020.0,USD (PPP),World Bank
2008,AUS,Australia,36000.0,USD (PPP),World Bank
2009,AUS,Australia,38900.0,USD (PPP),World Bank
2010,AUS,Australia,37840.0,USD (PPP),World Bank
2011,AUS,Australia,40330.0,USD (PPP),World Bank
2012,AUS,Australia,41560.0,USD (PPP),World Bank
2013,AUS,Australia,44790.0,USD (PPP),World Bank
2014,AUS,Australia,45680.0,USD (PPP),World Bank
2015,AUS,Australia,45320.0,USD (PPP),World Bank
2016,AUS,Australia,46140.0,USD (PPP),World Bank
2017,AUS,Australia,47040.0,USD (PPP),World Bank
2018,AUS,Australia,48600.0,USD (PPP),World Bank
2019,AUS,Australia,50900.0,USD (PPP),World Bank
2020,AUS,Australia,52760.0,USD (PPP),World Bank
2021,AUS,Australia,57530.0,USD (PPP),World Bank
2022,AUS,Australia,63370.0,USD (PPP),World Bank
2023,AUS,Australia,67480.0,USD (PPP),World Bank
2024,AUS,Australia,68800.0,USD (PPP),World Bank
1990,BRA,Brazil,6510.0,USD (PPP),World Bank
1991,BRA,Brazil,6710.0,USD (PPP),World Bank
1992,BRA,Brazil,6740.0,USD (PPP),World Bank
1993,BRA,Brazil,7080.0,USD (PPP),World Bank
1994,BRA,Brazil,7430.0,USD (PPP),World Bank
1995,BRA,Brazil,7980.0,USD (PPP),World Bank
1996,BRA,Brazil,8190.0,USD (PPP),World Bank
1997,BRA,Brazil,8460.0,USD (PPP),World Bank
1998,BRA,Brazil,8420.0,USD (PPP),World Bank
1999,BRA,Brazil,8370.0,USD (PPP),World Bank
2000,BRA,Brazil,8830.0,USD (PPP),World Bank
2001,BRA,Brazil,9000.0,USD (PPP),World Bank
2002,BRA,Brazil,9290.0,USD (PPP),World Bank
2003,BRA,Brazil,9490.0,USD (PPP),World Bank
2004,BRA,Brazil,10210.0,USD (PPP),World Bank
2005,BRA,Brazil,10760.0,USD (PPP),World Bank
2006,BRA,Brazil,11460.0,USD (PPP),World Bank
2007,BRA,Brazil,12400.0,USD (PPP),World Bank
2008,BRA,Brazil,13120.0,USD (PPP),World Bank
2009,BRA,Brazil,13090.0,USD (PPP),World Bank
2010,BRA,Brazil,14010.0,USD (PPP),World Bank
2011,BRA,Brazil,14820.0,USD (PPP),World Bank
2012,BRA,Brazil,14820.0,USD (PPP),World Bank
2013,BRA,Brazil,15500.0,USD (PPP),World Bank
2014,BRA,Brazil,15530.0,USD (PPP),World Bank
2015,BRA,Brazil,14540.0,USD (PPP),World Bank
2016,BRA,Brazil,14010.0,USD (PPP),World Bank
2017,BRA,Brazil,14290.0,USD (PPP),World Bank
2018,BRA,Brazil,15030.0,USD (PPP),World Bank
2019,BRA,Brazil,15640.0,USD (PPP),World Bank
2020,BRA,Brazil,15770.0,USD (PPP),World Bank
2021,BRA,Brazil,17510.0,USD (PPP),World Bank
2022,BRA,Brazil,19300.0,USD (PPP),World Bank
2023,BRA,Brazil,20500.0,USD (PPP),World Bank
2024,BRA,Brazil,21650.0,USD (PPP),World Bank
