year,country_code,country_name,value,unit,source
1990,AUS,Australia,17381.2252724823,USD (PPP),World Bank
1991,AUS,Australia,17835.8304564765,USD (PPP),World Bank
1992,AUS,Australia,18253.9697600814,USD (PPP),World Bank
1993,AUS,Australia,19216.3066487676,USD (PPP),World Bank
1994,AUS,Australia,20170.7847643535,USD (PPP),World Bank
1995,AUS,Australia,21038.6667853022,USD (PPP),World Bank
1996,AUS,Australia,22132.1929034356,USD (PPP),World Bank
1997,AUS,Australia,23124.9639117233,USD (PPP),World Bank
1998,AUS,Australia,24378.2453109245,USD (PPP),World Bank
1999,AUS,Australia,25485.39144594,USD (PPP),World Bank
2000,AUS,Australia,26541.6653208437,USD (PPP),World Bank
2001,AUS,Australia,27645.8140289701,USD (PPP),World Bank
2002,AUS,Australia,29032.4909555888,USD (PPP),World Bank
2003,AUS,Australia,30121.8184177337,USD (PPP),World Bank
2004,AUS,Australia,31763.7960926854,USD (PPP),World Bank
2005,AUS,Australia,33036.5834770249,USD (PPP),World Bank
2006,AUS,Australia,34846.7156302418,USD (PPP),World Bank
2007,AUS,Australia,36653.8417179443,USD (PPP),World Bank
2008,AUS,Australia,37532.9990434133,USD (PPP),World Bank
2009,AUS,Australia,40312.3951186945,USD (PPP),World Bank
2010,AUS,Australia,39372.8511038542,USD (PPP),World Bank
2011,AUS,Australia,42022.7392158859,USD (PPP),World Bank
2012,AUS,Australia,42863.3483169945,USD (PPP),World Bank
2013,AUS,Australia,45930.8505081503,USD (PPP),World Bank
2014,AUS,Australia,46903.770304139,USD (PPP),World Bank
2015,AUS,Australia,46263.731388772,USD (PPP),World Bank
2016,AUS,Australia,47260.1529933747,USD (PPP),World Bank
2017,AUS,Australia,48371.1409956585,USD (PPP),World Bank
2018,AUS,Australia,50183.6898127634,USD (PPP),World Bank
2019,AUS,Australia,52673.0638176231,USD (PPP),World Bank
2020,AUS,Australia,53984.1246979075,USD (PPP),World Bank
2021,AUS,Australia,58182.3369477501,USD (PPP),World Bank
2022,AUS,Australia,65871.7715157769,USD (PPP),World Bank
2023,AUS,Australia,70513.4748706981,USD (PPP),World Bank
2024,AUS,Australia,71193.2158509788,USD (PPP),World Bank
1990,BRA,Brazil,6687.92294845833,USD (PPP),World Bank
1991,BRA,Brazil,6866.63038067142,USD (PPP),World Bank
1992,BRA,Brazil,6869.41000567118,USD (PPP),World Bank
1993,BRA,Brazil,7259.98885694017,USD (PPP),World Bank
1994,BRA,Brazil,7727.24541734073,USD (PPP),World Bank
1995,BRA,Brazil,8096.91149188512,USD (PPP),World Bank
1996,BRA,Brazil,8300.634141472,USD (PPP),World Bank
1997,BRA,Brazil,8601.60903058102,USD (PPP),World Bank
1998,BRA,Brazil,8598.80569216845,USD (PPP),World Bank
1999,BRA,Brazil,8634.60784569515,USD (PPP),World Bank
2000,BRA,Brazil,9091.76851374523,USD (PPP),World Bank
2001,BRA,Brazil,9303.64529202374,USD (PPP),World Bank
2002,BRA,Brazil,9616.59485500825,USD (PPP),World Bank
2003,BRA,Brazil,9801.96212464828,USD (PPP),World Bank
2004,BRA,Brazil,10525.7113783353,USD (PPP),World Bank
2005,BRA,Brazil,11081.2474735762,USD (PPP),World Bank
2006,BRA,Brazil,11750.5312440217,USD (PPP),World Bank
2007,BRA,Brazil,12672.5051160173,USD (PPP),World Bank
2008,BRA,Brazil,13445.2454698704,USD (PPP),World Bank
2009,BRA,Brazil,13390.683131466,USD (PPP),World Bank
2010,BRA,Brazil,14451.7158389637,USD (PPP),World Bank
2011,BRA,Brazil,15211.7920391654,USD (PPP),World Bank
2012,BRA,Brazil,15198.0863308622,USD (PPP),World Bank
2013,BRA,Brazil,15722.3335242901,USD (PPP),World Bank
2014,BRA,Brazil,15827.3081625514,USD (PPP),World Bank
2015,BRA,Brazil,14821.4383174534,USD (PPP),World Bank
2016,BRA,Brazil,14309.2061489274,USD (PPP),World Bank
2017,BRA,Brazil,14559.0488897004,USD (PPP),World Bank
2018,BRA,Brazil,15463.7426393889,USD (PPP),World Bank
2019,BRA,Brazil,16069.8380152627,USD (PPP),World Bank
2020,BRA,Brazil,16101.6183063466,USD (PPP),World Bank
2021,BRA,Brazil,18075.7060049068,USD (PPP),World Bank
2022,BRA,Brazil,19876.8533531447,USD (PPP),World Bank
2023,BRA,Brazil,21175.6186990185,USD (PPP),World Bank
2024,BRA,Brazil,22333.4116642585,USD (PPP),World Bank
1990,CAN,Canada,20229.7558681625,USD (PPP),World Bank
1991,CAN,Canada,20224.6873311056,USD (PPP),World Bank
1992,CAN,Canada,20626.2020585898,USD (PPP),World Bank
1993,CAN,Canada,21440.0469855991,USD (PPP),World Bank
1994,CAN,Canada,22632.8340863081,USD (PPP),World Bank
1995,CAN,Canada,23485.6419280395,USD (PPP),World Bank
1996,CAN,Canada,24050.1750062174,USD (PPP),World Bank
1997,CAN,Canada,25258.8605604948,USD (PPP),World Bank
1998,CAN,Canada,26319.6741635104,USD (PPP),World Bank
1999,CAN,Canada,27841.3533496575,USD (PPP),World Bank
2000,CAN,Canada,29362.0841609786,USD (PPP),World Bank
2001,CAN,Canada,30230.8487685762,USD (PPP),World Bank
2002,CAN,Canada,30963.9218856684,USD (PPP),World Bank
2003,CAN,Canada,32351.5456968698,USD (PPP),World Bank
2004,CAN,Canada,33927.6696952532,USD (PPP),World Bank
2005,CAN,Canada,36328.378994377,USD (PPP),World Bank
2006,CAN,Canada,38119.3909593545,USD (PPP),World Bank
2007,CAN,Canada,39575.4770075876,USD (PPP),World Bank
2008,CAN,Canada,40376.0882836384,USD (PPP),World Bank
2009,CAN,Canada,38864.0566958538,USD (PPP),World Bank
2010,CAN,Canada,40098.2537191139,USD (PPP),World Bank
2011,CAN,Canada,41666.8374590278,USD (PPP),World Bank
2012,CAN,Canada,42291.9729357094,USD (PPP),World Bank
2013,CAN,Canada,44301.0562529133,USD (PPP),World Bank
2014,CAN,Canada,45758.1007297304,USD (PPP),World Bank
2015,CAN,Canada,44669.4513631838,USD (PPP),World Bank
2016,CAN,Canada,46470.6466391109,USD (PPP),World Bank
2017,CAN,Canada,48317.3874457163,USD (PPP),World Bank
2018,CAN,Canada,49982.5999118346,USD (PPP),World Bank
2019,CAN,Canada,50498.9731057448,USD (PPP),World Bank
2020,CAN,Canada,48590.6832121939,USD (PPP),World Bank
2021,CAN,Canada,56995.1176781351,USD (PPP),World Bank
2022,CAN,Canada,63578.3201949554,USD (PPP),World Bank
2023,CAN,Canada,64462.9211694495,USD (PPP),World Bank
2024,CAN,Canada,65463.0990993361,USD (PPP),World Bank
1990,CHE,Switzerland,28442.331604763,USD (PPP),World Bank
1991,CHE,Switzerland,28773.0139362181,USD (PPP),World Bank
1992,CHE,Switzerland,29093.3238541076,USD (PPP),World Bank
1993,CHE,Switzerland,29475.7500522008,USD (PPP),World Bank
1994,CHE,Switzerland,30245.3759671361,USD (PPP),World Bank
1995,CHE,Switzerland,30821.4370522444,USD (PPP),World Bank
1996,CHE,Switzerland,31497.7419568964,USD (PPP),World Bank
1997,CHE,Switzerland,32728.0114219533,USD (PPP),World Bank
1998,CHE,Switzerland,33857.6531675935,USD (PPP),World Bank
1999,CHE,Switzerland,34742.6318631555,USD (PPP),World Bank
2000,CHE,Switzerland,36695.2070554187,USD (PPP),World Bank
2001,CHE,Switzerland,37822.9275072501,USD (PPP),World Bank
2002,CHE,Switzerland,38704.9584597242,USD (PPP),World Bank
2003,CHE,Switzerland,38737.3079261209,USD (PPP),World Bank
2004,CHE,Switzerland,40176.5707415374,USD (PPP),World Bank
2005,CHE,Switzerland,41524.8488732932,USD (PPP),World Bank
2006,CHE,Switzerland,46275.5494842863,USD (PPP),World Bank
2007,CHE,Switzerland,50929.4927044896,USD (PPP),World Bank
2008,CHE,Switzerland,53808.7841127066,USD (PPP),World Bank
2009,CHE,Switzerland,52971.3732760585,USD (PPP),World Bank
2010,CHE,Switzerland,54432.332994981,USD (PPP),World Bank
2011,CHE,Switzerland,57493.5810559211,USD (PPP),World Bank
2012,CHE,Switzerland,59440.9158607666,USD (PPP),World Bank
2013,CHE,Switzerland,61656.4661708516,USD (PPP),World Bank
2014,CHE,Switzerland,63417.0438110319,USD (PPP),World Bank
2015,CHE,Switzerland,65282.5841931923,USD (PPP),World Bank
2016,CHE,Switzerland,67350.7518747757,USD (PPP),World Bank
2017,CHE,Switzerland,68193.5055940262,USD (PPP),World Bank
2018,CHE,Switzerland,70688.8187491194,USD (PPP),World Bank
2019,CHE,Switzerland,73732.2353322093,USD (PPP),World Bank
2020,CHE,Switzerland,72997.8239503282,USD (PPP),World Bank
2021,CHE,Switzerland,81001.4111206118,USD (PPP),World Bank
2022,CHE,Switzerland,91326.1317048182,USD (PPP),World Bank
2023,CHE,Switzerland,90505.997877357,USD (PPP),World Bank
2024,CHE,Switzerland,93818.7074809256,USD (PPP),World Bank
1990,CHN,China,990.776190880307,USD (PPP),World Bank
1991,CHN,China,1104.99241812151,USD (PPP),World Bank
1992,CHN,China,1276.04934407809,USD (PPP),World Bank
1993,CHN,China,1471.23957676652,USD (PPP),World Bank
1994,CHN,China,1679.99494201668,USD (PPP),World Bank
1995,CHN,China,1883.87603000345,USD (PPP),World Bank
1996,CHN,China,2087.74769649351,USD (PPP),World Bank
1997,CHN,China,2297.36310194242,USD (PPP),World Bank
1998,CHN,China,2483.25405950859,USD (PPP),World Bank
1999,CHN,China,2689.85156589718,USD (PPP),World Bank
2000,CHN,China,2963.53238602023,USD (PPP),World Bank
2001,CHN,China,3258.40210660305,USD (PPP),World Bank
2002,CHN,China,3590.7659594167,USD (PPP),World Bank
2003,CHN,China,4007.11604605423,USD (PPP),World Bank
2004,CHN,China,4504.92937237596,USD (PPP),World Bank
2005,CHN,China,5148.18273933805,USD (PPP),World Bank
2006,CHN,China,5946.28682830185,USD (PPP),World Bank
2007,CHN,China,6935.26580584434,USD (PPP),World Bank
2008,CHN,China,7712.84608425069,USD (PPP),World Bank
2009,CHN,China,8447.98281469227,USD (PPP),World Bank
2010,CHN,China,9411.13821903204,USD (PPP),World Bank
2011,CHN,China,10456.7916826113,USD (PPP),World Bank
2012,CHN,China,11420.2527051141,USD (PPP),World Bank
2013,CHN,China,12228.3736084197,USD (PPP),World Bank
2014,CHN,China,12941.5964809146,USD (PPP),World Bank
2015,CHN,China,13463.3331511105,USD (PPP),World Bank
2016,CHN,China,14157.2514988004,USD (PPP),World Bank
2017,CHN,China,15022.4371883124,USD (PPP),World Bank
2018,CHN,China,16298.2050619109,USD (PPP),World Bank
2019,CHN,China,17600.8907568493,USD (PPP),World Bank
2020,CHN,China,18267.4783455827,USD (PPP),World Bank
2021,CHN,China,20843.2978347377,USD (PPP),World Bank
2022,CHN,China,23032.1766271143,USD (PPP),World Bank
2023,CHN,China,25179.1193066383,USD (PPP),World Bank
2024,CHN,China,27104.8702677463,USD (PPP),World Bank
1990,DEU,Germany,19521.0195953832,USD (PPP),World Bank
1991,DEU,Germany,21058.0766845077,USD (PPP),World Bank
1992,DEU,Germany,21806.2098717814,USD (PPP),World Bank
1993,DEU,Germany,21940.1618594446,USD (PPP),World Bank
1994,DEU,Germany,22886.7678264208,USD (PPP),World Bank
1995,DEU,Germany,23614.9584449293,USD (PPP),World Bank
1996,DEU,Germany,24160.0668021179,USD (PPP),World Bank
1997,DEU,Germany,24643.6832124359,USD (PPP),World Bank
1998,DEU,Germany,25444.1511399187,USD (PPP),World Bank
1999,DEU,Germany,26517.9342856214,USD (PPP),World Bank
2000,DEU,Germany,27467.7824174767,USD (PPP),World Bank
2001,DEU,Germany,28677.1908591132,USD (PPP),World Bank
2002,DEU,Germany,29513.6823267102,USD (PPP),World Bank
2003,DEU,Germany,30305.2575678401,USD (PPP),World Bank
2004,DEU,Germany,31757.4177276181,USD (PPP),World Bank
2005,DEU,Germany,32313.736788417,USD (PPP),World Bank
2006,DEU,Germany,34748.7543257238,USD (PPP),World Bank
2007,DEU,Germany,36915.3252832162,USD (PPP),World Bank
2008,DEU,Germany,38443.5386278958,USD (PPP),World Bank
2009,DEU,Germany,37554.4426993174,USD (PPP),World Bank
2010,DEU,Germany,39730.4897885271,USD (PPP),World Bank
2011,DEU,Germany,43398.3443992496,USD (PPP),World Bank
2012,DEU,Germany,44229.3941921739,USD (PPP),World Bank
2013,DEU,Germany,45889.0173022052,USD (PPP),World Bank
2014,DEU,Germany,47938.7968210418,USD (PPP),World Bank
2015,DEU,Germany,48558.4432970969,USD (PPP),World Bank
2016,DEU,Germany,51569.9016841199,USD (PPP),World Bank
2017,DEU,Germany,54110.2536648812,USD (PPP),World Bank
2018,DEU,Germany,56273.0405627017,USD (PPP),World Bank
2019,DEU,Germany,59270.7276496985,USD (PPP),World Bank
2020,DEU,Germany,58685.872699771,USD (PPP),World Bank
2021,DEU,Germany,62530.7653199239,USD (PPP),World Bank
2022,DEU,Germany,67589.8399055414,USD (PPP),World Bank
2023,DEU,Germany,68692.894466622,USD (PPP),World Bank
2024,DEU,Germany,72300.1205050011,USD (PPP),World Bank
1990,ESP,Spain,13666.5379883416,USD (PPP),World Bank
1991,ESP,Spain,14451.5917800344,USD (PPP),World Bank
1992,ESP,Spain,14845.3959204571,USD (PPP),World Bank
1993,ESP,Spain,14962.7231239705,USD (PPP),World Bank
1994,ESP,Spain,15572.1275852191,USD (PPP),World Bank
1995,ESP,Spain,16265.116191102,USD (PPP),World Bank
1996,ESP,Spain,16964.935227861,USD (PPP),World Bank
1997,ESP,Spain,17899.1939251675,USD (PPP),World Bank
1998,ESP,Spain,19081.5765441881,USD (PPP),World Bank
1999,ESP,Spain,19938.1786773173,USD (PPP),World Bank
2000,ESP,Spain,21577.59731368,USD (PPP),World Bank
2001,ESP,Spain,22954.8204911252,USD (PPP),World Bank
2002,ESP,Spain,24377.8417076394,USD (PPP),World Bank
2003,ESP,Spain,25060.5153765741,USD (PPP),World Bank
2004,ESP,Spain,26163.3046245452,USD (PPP),World Bank
2005,ESP,Spain,27629.7077024966,USD (PPP),World Bank
2006,ESP,Spain,30755.2987888646,USD (PPP),World Bank
2007,ESP,Spain,32537.3435402735,USD (PPP),World Bank
2008,ESP,Spain,33349.942580613,USD (PPP),World Bank
2009,ESP,Spain,32201.4773527814,USD (PPP),World Bank
2010,ESP,Spain,31808.2179879539,USD (PPP),World Bank
2011,ESP,Spain,32015.5752000401,USD (PPP),World Bank
2012,ESP,Spain,31869.7839822219,USD (PPP),World Bank
2013,ESP,Spain,32613.6891811474,USD (PPP),World Bank
2014,ESP,Spain,33760.9555646369,USD (PPP),World Bank
2015,ESP,Spain,35238.0691376424,USD (PPP),World Bank
2016,ESP,Spain,37612.7188681342,USD (PPP),World Bank
2017,ESP,Spain,39825.2498116292,USD (PPP),World Bank
2018,ESP,Spain,41015.1565755187,USD (PPP),World Bank
2019,ESP,Spain,44042.757577336,USD (PPP),World Bank
2020,ESP,Spain,39327.8479269599,USD (PPP),World Bank
2021,ESP,Spain,44251.6658222621,USD (PPP),World Bank
2022,ESP,Spain,50468.0966924829,USD (PPP),World Bank
2023,ESP,Spain,53229.922021795,USD (PPP),World Bank
2024,ESP,Spain,56926.2399029671,USD (PPP),World Bank
1990,FRA,France,17471.6864112423,USD (PPP),World Bank
1991,FRA,France,18178.0122019661,USD (PPP),World Bank
1992,FRA,France,18790.1971604022,USD (PPP),World Bank
1993,FRA,France,19070.9945882872,USD (PPP),World Bank
1994,FRA,France,19873.5108543096,USD (PPP),World Bank
1995,FRA,France,20687.726108258,USD (PPP),World Bank
1996,FRA,France,21260.5582126092,USD (PPP),World Bank
1997,FRA,France,22184.9704154656,USD (PPP),World Bank
1998,FRA,France,23261.1895083173,USD (PPP),World Bank
1999,FRA,France,24203.8755920062,USD (PPP),World Bank
2000,FRA,France,26001.8796983416,USD (PPP),World Bank
2001,FRA,France,27349.7445859002,USD (PPP),World Bank
2002,FRA,France,28350.0985605428,USD (PPP),World Bank
2003,FRA,France,28027.6762119343,USD (PPP),World Bank
2004,FRA,France,28925.1268683664,USD (PPP),World Bank
2005,FRA,France,30431.2367240202,USD (PPP),World Bank
2006,FRA,France,32430.4443144707,USD (PPP),World Bank
2007,FRA,France,34067.4661475639,USD (PPP),World Bank
2008,FRA,France,35053.2627069116,USD (PPP),World Bank
2009,FRA,France,34666.9598878294,USD (PPP),World Bank
2010,FRA,France,35911.5438581409,USD (PPP),World Bank
2011,FRA,France,37510.3759898714,USD (PPP),World Bank
2012,FRA,France,37671.0239268565,USD (PPP),World Bank
2013,FRA,France,39583.3520435045,USD (PPP),World Bank
