year,country_code,country_name,value,unit,source
1990,AUS,Australia,36205.2747932163,USD (constant 2017 PPP),World Bank
1991,AUS,Australia,35610.0775859051,USD (constant 2017 PPP),World Bank
1992,AUS,Australia,35364.4277458853,USD (constant 2017 PPP),World Bank
1993,AUS,Australia,36469.6705839561,USD (constant 2017 PPP),World Bank
1994,AUS,Australia,37557.8409308368,USD (constant 2017 PPP),World Bank
1995,AUS,Australia,38585.1726835041,USD (constant 2017 PPP),World Bank
1996,AUS,Australia,39592.5362122889,USD (constant 2017 PPP),World Bank
1997,AUS,Australia,40699.1182042282,USD (constant 2017 PPP),World Bank
1998,AUS,Australia,42174.5352372581,USD (constant 2017 PPP),World Bank
1999,AUS,Australia,43813.0026695656,USD (constant 2017 PPP),World Bank
2000,AUS,Australia,45013.0099535152,USD (constant 2017 PPP),World Bank
2001,AUS,Australia,45338.6834259568,USD (constant 2017 PPP),World Bank
2002,AUS,Australia,46609.7441798787,USD (constant 2017 PPP),World Bank
2003,AUS,Australia,47500.8351163647,USD (constant 2017 PPP),World Bank
2004,AUS,Australia,48980.8931754432,USD (constant 2017 PPP),World Bank
2005,AUS,Australia,49914.5146351829,USD (constant 2017 PPP),World Bank
2006,AUS,Australia,50602.3502510337,USD (constant 2017 PPP),World Bank
2007,AUS,Australia,51562.094012556,USD (constant 2017 PPP),World Bank
2008,AUS,Australia,52351.5870495814,USD (constant 2017 PPP),World Bank
2009,AUS,Australia,52254.3227326852,USD (constant 2017 PPP),World Bank
2010,AUS,Australia,52589.8182081922,USD (constant 2017 PPP),World Bank
2011,AUS,Australia,53112.5328692855,USD (constant 2017 PPP),World Bank
2012,AUS,Australia,54237.5919075866,USD (constant 2017 PPP),World Bank
2013,AUS,Australia,54699.3516156156,USD (constant 2017 PPP),World Bank
2014,AUS,Australia,55288.1153378005,USD (constant 2017 PPP),World Bank
2015,AUS,Australia,55691.6988499962,USD (constant 2017 PPP),World Bank
2016,AUS,Australia,56341.5181616503,USD (constant 2017 PPP),World Bank
2017,AUS,Australia,56684.6473338143,USD (constant 2017 PPP),World Bank
2018,AUS,Australia,57450.3810363952,USD (constant 2017 PPP),World Bank
2019,AUS,Australia,57837.0606876407,USD (constant 2017 PPP),World Bank
2020,AUS,Australia,57059.7436441324,USD (constant 2017 PPP),World Bank
2021,AUS,Australia,58182.3369477501,USD (constant 2017 PPP),World Bank
2022,AUS,Australia,59883.6470356073,USD (constant 2017 PPP),World Bank
2023,AUS,Australia,60461.1563966999,USD (constant 2017 PPP),World Bank
2024,AUS,Australia,60082.005786975,USD (constant 2017 PPP),World Bank
1990,BRA,Brazil,12633.2884560597,USD (constant 2017 PPP),World Bank
1991,BRA,Brazil,12546.5605005559,USD (constant 2017 PPP),World Bank
1992,BRA,Brazil,12271.9788478727,USD (constant 2017 PPP),World Bank
1993,BRA,Brazil,12669.4287209749,USD (constant 2017 PPP),World Bank
1994,BRA,Brazil,13202.9308011881,USD (constant 2017 PPP),World Bank
1995,BRA,Brazil,13550.4393735843,USD (constant 2017 PPP),World Bank
1996,BRA,Brazil,13641.6295995961,USD (constant 2017 PPP),World Bank
1997,BRA,Brazil,13896.6249901072,USD (constant 2017 PPP),World Bank
1998,BRA,Brazil,13737.7026433556,USD (constant 2017 PPP),World Bank
1999,BRA,Brazil,13602.4137067874,USD (constant 2017 PPP),World Bank
2000,BRA,Brazil,14005.3471874231,USD (constant 2017 PPP),World Bank
2001,BRA,Brazil,14016.1313772236,USD (constant 2017 PPP),World Bank
2002,BRA,Brazil,14265.9048770292,USD (constant 2017 PPP),World Bank
2003,BRA,Brazil,14259.3664089322,USD (constant 2017 PPP),World Bank
2004,BRA,Brazil,14911.2609608592,USD (constant 2017 PPP),World Bank
2005,BRA,Brazil,15221.0138281541,USD (constant 2017 PPP),World Bank
2006,BRA,Brazil,15657.4795716983,USD (constant 2017 PPP),World Bank
2007,BRA,Brazil,16440.583740032,USD (constant 2017 PPP),World Bank
2008,BRA,Brazil,17113.3679822643,USD (constant 2017 PPP),World Bank
2009,BRA,Brazil,16939.4407810328,USD (constant 2017 PPP),World Bank
2010,BRA,Brazil,18062.1581103659,USD (constant 2017 PPP),World Bank
2011,BRA,Brazil,18627.8104529397,USD (constant 2017 PPP),World Bank
2012,BRA,Brazil,18832.2195527075,USD (constant 2017 PPP),World Bank
2013,BRA,Brazil,19241.5059815726,USD (constant 2017 PPP),World Bank
2014,BRA,Brazil,19183.172744636,USD (constant 2017 PPP),World Bank
2015,BRA,Brazil,18357.0690617991,USD (constant 2017 PPP),World Bank
2016,BRA,Brazil,17620.9272434136,USD (constant 2017 PPP),World Bank
2017,BRA,Brazil,17724.4799577784,USD (constant 2017 PPP),World Bank
2018,BRA,Brazil,17917.7492123359,USD (constant 2017 PPP),World Bank
2019,BRA,Brazil,18018.6209151518,USD (constant 2017 PPP),World Bank
2020,BRA,Brazil,17327.5157249466,USD (constant 2017 PPP),World Bank
2021,BRA,Brazil,18075.7060049068,USD (constant 2017 PPP),World Bank
2022,BRA,Brazil,18554.0461828566,USD (constant 2017 PPP),World Bank
2023,BRA,Brazil,19079.8122134028,USD (constant 2017 PPP),World Bank
2024,BRA,Brazil,19647.9096329925,USD (constant 2017 PPP),World Bank
1990,CAN,Canada,40475.1123914259,USD (constant 2017 PPP),World Bank
1991,CAN,Canada,39139.3122852292,USD (constant 2017 PPP),World Bank
1992,CAN,Canada,39023.182197815,USD (constant 2017 PPP),World Bank
1993,CAN,Canada,39622.4790617509,USD (constant 2017 PPP),World Bank
1994,CAN,Canada,40952.1359325297,USD (constant 2017 PPP),World Bank
1995,CAN,Canada,41617.7233238779,USD (constant 2017 PPP),World Bank
1996,CAN,Canada,41880.5520989428,USD (constant 2017 PPP),World Bank
1997,CAN,Canada,43241.2407061887,USD (constant 2017 PPP),World Bank
1998,CAN,Canada,44553.2827303697,USD (constant 2017 PPP),World Bank
1999,CAN,Canada,46464.5457841559,USD (constant 2017 PPP),World Bank
2000,CAN,Canada,48399.3055389359,USD (constant 2017 PPP),World Bank
2001,CAN,Canada,48774.1675534138,USD (constant 2017 PPP),World Bank
2002,CAN,Canada,49695.0066909867,USD (constant 2017 PPP),World Bank
2003,CAN,Canada,50139.7862347007,USD (constant 2017 PPP),World Bank
2004,CAN,Canada,51210.6796118735,USD (constant 2017 PPP),World Bank
2005,CAN,Canada,52356.5578038534,USD (constant 2017 PPP),World Bank
2006,CAN,Canada,53195.781842155,USD (constant 2017 PPP),World Bank
2007,CAN,Canada,53761.8620298113,USD (constant 2017 PPP),World Bank
2008,CAN,Canada,53711.6792064975,USD (constant 2017 PPP),World Bank
2009,CAN,Canada,51552.4223837895,USD (constant 2017 PPP),World Bank
2010,CAN,Canada,52558.4408142168,USD (constant 2017 PPP),World Bank
2011,CAN,Canada,53681.1296700569,USD (constant 2017 PPP),World Bank
2012,CAN,Canada,54034.8034751988,USD (constant 2017 PPP),World Bank
2013,CAN,Canada,54712.178423981,USD (constant 2017 PPP),World Bank
2014,CAN,Canada,55723.4835404159,USD (constant 2017 PPP),World Bank
2015,CAN,Canada,55660.8675272614,USD (constant 2017 PPP),World Bank
2016,CAN,Canada,55606.1549191947,USD (constant 2017 PPP),World Bank
2017,CAN,Canada,56612.3285367448,USD (constant 2017 PPP),World Bank
2018,CAN,Canada,57337.4909099991,USD (constant 2017 PPP),World Bank
2019,CAN,Canada,57583.845798092,USD (constant 2017 PPP),World Bank
2020,CAN,Canada,54092.8790317796,USD (constant 2017 PPP),World Bank
2021,CAN,Canada,56995.1176781351,USD (constant 2017 PPP),World Bank
2022,CAN,Canada,58321.0611834624,USD (constant 2017 PPP),World Bank
2023,CAN,Canada,57517.4431587432,USD (constant 2017 PPP),World Bank
2024,CAN,Canada,56691.9070100503,USD (constant 2017 PPP),World Bank
1990,CHE,Switzerland,64010.7585544032,USD (constant 2017 PPP),World Bank
1991,CHE,Switzerland,62636.7741067256,USD (constant 2017 PPP),World Bank
1992,CHE,Switzerland,61922.8908444333,USD (constant 2017 PPP),World Bank
1993,CHE,Switzerland,61284.2042587758,USD (constant 2017 PPP),World Bank
1994,CHE,Switzerland,61569.5965405613,USD (constant 2017 PPP),World Bank
1995,CHE,Switzerland,61453.6297020666,USD (constant 2017 PPP),World Bank
1996,CHE,Switzerland,61471.1689633393,USD (constant 2017 PPP),World Bank
1997,CHE,Switzerland,62709.9871171841,USD (constant 2017 PPP),World Bank
1998,CHE,Switzerland,64418.3857592838,USD (constant 2017 PPP),World Bank
1999,CHE,Switzerland,65177.8822005074,USD (constant 2017 PPP),World Bank
2000,CHE,Switzerland,67378.3901472877,USD (constant 2017 PPP),World Bank
2001,CHE,Switzerland,68008.3441852855,USD (constant 2017 PPP),World Bank
2002,CHE,Switzerland,67446.4044310268,USD (constant 2017 PPP),World Bank
2003,CHE,Switzerland,66926.167976443,USD (constant 2017 PPP),World Bank
2004,CHE,Switzerland,68263.4411390817,USD (constant 2017 PPP),World Bank
2005,CHE,Switzerland,69692.5954827493,USD (constant 2017 PPP),World Bank
2006,CHE,Switzerland,72077.8598470308,USD (constant 2017 PPP),World Bank
2007,CHE,Switzerland,74234.3010991931,USD (constant 2017 PPP),World Bank
2008,CHE,Switzerland,75355.202488789,USD (constant 2017 PPP),World Bank
2009,CHE,Switzerland,72709.8138293408,USD (constant 2017 PPP),World Bank
2010,CHE,Switzerland,74290.2619629278,USD (constant 2017 PPP),World Bank
2011,CHE,Switzerland,74800.8886353533,USD (constant 2017 PPP),World Bank
2012,CHE,Switzerland,74883.6158924249,USD (constant 2017 PPP),World Bank
2013,CHE,Switzerland,75354.1550500884,USD (constant 2017 PPP),World Bank
2014,CHE,Switzerland,76189.6018443969,USD (constant 2017 PPP),World Bank
2015,CHE,Switzerland,76566.0772542148,USD (constant 2017 PPP),World Bank
2016,CHE,Switzerland,77301.2124304857,USD (constant 2017 PPP),World Bank
2017,CHE,Switzerland,77626.9027376941,USD (constant 2017 PPP),World Bank
2018,CHE,Switzerland,79261.3563641288,USD (constant 2017 PPP),World Bank
2019,CHE,Switzerland,79596.7029465098,USD (constant 2017 PPP),World Bank
2020,CHE,Switzerland,77324.8870934007,USD (constant 2017 PPP),World Bank
2021,CHE,Switzerland,81001.4111206118,USD (constant 2017 PPP),World Bank
2022,CHE,Switzerland,82777.293582076,USD (constant 2017 PPP),World Bank
2023,CHE,Switzerland,82302.0491822579,USD (constant 2017 PPP),World Bank
2024,CHE,Switzerland,82026.4087304591,USD (constant 2017 PPP),World Bank
1990,CHN,China,1666.92774090575,USD (constant 2017 PPP),World Bank
1991,CHN,China,1798.27610528653,USD (constant 2017 PPP),World Bank
1992,CHN,China,2030.38636999332,USD (constant 2017 PPP),World Bank
1993,CHN,China,2286.75974444182,USD (constant 2017 PPP),World Bank
1994,CHN,China,2556.64057218097,USD (constant 2017 PPP),World Bank
1995,CHN,China,2808.03403089611,USD (constant 2017 PPP),World Bank
1996,CHN,China,3055.96977919745,USD (constant 2017 PPP),World Bank
1997,CHN,China,3305.79061082131,USD (constant 2017 PPP),World Bank
1998,CHN,China,3533.56587021506,USD (constant 2017 PPP),World Bank
1999,CHN,China,3774.13766362641,USD (constant 2017 PPP),World Bank
2000,CHN,China,4066.03627019859,USD (constant 2017 PPP),World Bank
2001,CHN,China,4372.15705579934,USD (constant 2017 PPP),World Bank
2002,CHN,China,4744.39855079794,USD (constant 2017 PPP),World Bank
2003,CHN,China,5192.00604608587,USD (constant 2017 PPP),World Bank
2004,CHN,China,5684.16873050981,USD (constant 2017 PPP),World Bank
2005,CHN,China,6298.32318474516,USD (constant 2017 PPP),World Bank
2006,CHN,China,7057.09993331646,USD (constant 2017 PPP),World Bank
2007,CHN,China,8013.71568302247,USD (constant 2017 PPP),World Bank
2008,CHN,China,8743.74491232188,USD (constant 2017 PPP),World Bank
2009,CHN,China,9518.43214737204,USD (constant 2017 PPP),World Bank
2010,CHN,China,10476.3123630451,USD (constant 2017 PPP),World Bank
2011,CHN,China,11405.0172845617,USD (constant 2017 PPP),World Bank
2012,CHN,China,12217.8543175465,USD (constant 2017 PPP),World Bank
2013,CHN,China,13080.8288162668,USD (constant 2017 PPP),World Bank
2014,CHN,China,13968.581485524,USD (constant 2017 PPP),World Bank
2015,CHN,China,14856.7807604461,USD (constant 2017 PPP),World Bank
2016,CHN,China,15772.7647598696,USD (constant 2017 PPP),World Bank
