year,country_code,country_name,value,unit,source
1960,AUS,Australia,7.96045785639958,Index (2010=100),World Bank
1961,AUS,Australia,8.14255983350676,Index (2010=100),World Bank
1962,AUS,Australia,8.11654526534859,Index (2010=100),World Bank
1963,AUS,Australia,8.16857440166493,Index (2010=100),World Bank
1964,AUS,Australia,8.40270551508845,Index (2010=100),World Bank
1965,AUS,Australia,8.6888657648283,Index (2010=100),World Bank
1966,AUS,Australia,8.97502601456816,Index (2010=100),World Bank
1967,AUS,Australia,9.28720083246618,Index (2010=100),World Bank
1968,AUS,Australia,9.5213319458897,Index (2010=100),World Bank
1969,AUS,Australia,9.83350676378772,Index (2010=100),World Bank
1970,AUS,Australia,10.1716961498439,Index (2010=100),World Bank
1971,AUS,Australia,10.79604578564,Index (2010=100),World Bank
1972,AUS,Australia,11.4464099895942,Index (2010=100),World Bank
1973,AUS,Australia,12.4869927159209,Index (2010=100),World Bank
1974,AUS,Australia,14.4120707596254,Index (2010=100),World Bank
1975,AUS,Australia,16.5972944849116,Index (2010=100),World Bank
1976,AUS,Australia,18.8085327783559,Index (2010=100),World Bank
1977,AUS,Australia,21.1238293444329,Index (2010=100),World Bank
1978,AUS,Australia,22.8147762747138,Index (2010=100),World Bank
1979,AUS,Australia,24.8959417273673,Index (2010=100),World Bank
1980,AUS,Australia,27.4193548387097,Index (2010=100),World Bank
1981,AUS,Australia,30.0208116545265,Index (2010=100),World Bank
1982,AUS,Australia,33.4287200832466,Index (2010=100),World Bank
1983,AUS,Australia,36.7845993756504,Index (2010=100),World Bank
1984,AUS,Australia,38.2414151925078,Index (2010=100),World Bank
1985,AUS,Australia,40.8168574401665,Index (2010=100),World Bank
1986,AUS,Australia,44.5109261186264,Index (2010=100),World Bank
1987,AUS,Australia,48.309053069719,Index (2010=100),World Bank
1988,AUS,Australia,51.7950052029136,Index (2010=100),World Bank
1989,AUS,Australia,55.6971904266389,Index (2010=100),World Bank
1990,AUS,Australia,59.7814776274714,Index (2010=100),World Bank
1991,AUS,Australia,61.6805411030177,Index (2010=100),World Bank
1992,AUS,Australia,62.3048907388137,Index (2010=100),World Bank
1993,AUS,Australia,63.3975026014568,Index (2010=100),World Bank
1994,AUS,Australia,64.6462018730489,Index (2010=100),World Bank
1995,AUS,Australia,67.6378772112383,Index (2010=100),World Bank
1996,AUS,Australia,69.4068678459938,Index (2010=100),World Bank
1997,AUS,Australia,69.5629552549428,Index (2010=100),World Bank
1998,AUS,Australia,70.1612903225807,Index (2010=100),World Bank
1999,AUS,Australia,71.2018730489074,Index (2010=100),World Bank
2000,AUS,Australia,74.375650364204,Index (2010=100),World Bank
2001,AUS,Australia,77.6534859521332,Index (2010=100),World Bank
2002,AUS,Australia,79.9687825182102,Index (2010=100),World Bank
2003,AUS,Australia,82.1540062434964,Index (2010=100),World Bank
2004,AUS,Australia,84.0790842872008,Index (2010=100),World Bank
2005,AUS,Australia,86.3423517169615,Index (2010=100),World Bank
2006,AUS,Australia,89.4120707596254,Index (2010=100),World Bank
2007,AUS,Australia,91.4932362122789,Index (2010=100),World Bank
2008,AUS,Australia,95.4734651404787,Index (2010=100),World Bank
2009,AUS,Australia,97.1644120707596,Index (2010=100),World Bank
2010,AUS,Australia,100.0,Index (2010=100),World Bank
2011,AUS,Australia,103.303850156087,Index (2010=100),World Bank
2012,AUS,Australia,105.124869927159,Index (2010=100),World Bank
2013,AUS,Australia,107.700312174818,Index (2010=100),World Bank
2014,AUS,Australia,110.379812695109,Index (2010=100),World Bank
2015,AUS,Australia,112.044745057232,Index (2010=100),World Bank
2016,AUS,Australia,113.475546305931,Index (2010=100),World Bank
2017,AUS,Australia,115.686784599376,Index (2010=100),World Bank
2018,AUS,Australia,117.89802289282,Index (2010=100),World Bank
2019,AUS,Australia,119.797086368366,Index (2010=100),World Bank
2020,AUS,Australia,120.811654526535,Index (2010=100),World Bank
2021,AUS,Australia,124.271592091571,Index (2010=100),World Bank
2022,AUS,Australia,132.466181061394,Index (2010=100),World Bank
2023,AUS,Australia,139.880332986472,Index (2010=100),World Bank
2024,AUS,Australia,144.302809573361,Index (2010=100),World Bank
1980,BRA,Brazil,3.57203995820629e-10,Index (2010=100),World Bank
1981,BRA,Brazil,7.20570021177795e-10,Index (2010=100),World Bank
1982,BRA,Brazil,1.44505532582099e-09,Index (2010=100),World Bank
1983,BRA,Brazil,3.39628003922508e-09,Index (2010=100),World Bank
1984,BRA,Brazil,9.92127211260218e-09,Index (2010=100),World Bank
1985,BRA,Brazil,3.2342321744633e-08,Index (2010=100),World Bank
1986,BRA,Brazil,7.99317280305452e-08,Index (2010=100),World Bank
1987,BRA,Brazil,2.62444768495788e-07,Index (2010=100),World Bank
1988,BRA,Brazil,1.91352288553154e-06,Index (2010=100),World Bank
1989,BRA,Brazil,2.92907487949526e-05,Index (2010=100),World Bank
1990,BRA,Brazil,0.000892703750329439,Index (2010=100),World Bank
1991,BRA,Brazil,0.00475620651227255,Index (2010=100),World Bank
1992,BRA,Brazil,0.0500334876739342,Index (2010=100),World Bank
1993,BRA,Brazil,1.01436931774855,Index (2010=100),World Bank
1994,BRA,Brazil,22.0715442934335,Index (2010=100),World Bank
1995,BRA,Brazil,36.6403159411409,Index (2010=100),World Bank
1996,BRA,Brazil,42.4139744020249,Index (2010=100),World Bank
1997,BRA,Brazil,45.3518684755867,Index (2010=100),World Bank
1998,BRA,Brazil,46.8008952735922,Index (2010=100),World Bank
1999,BRA,Brazil,49.0746921995341,Index (2010=100),World Bank
2000,BRA,Brazil,52.5315827425714,Index (2010=100),World Bank
2001,BRA,Brazil,56.1249316036126,Index (2010=100),World Bank
2002,BRA,Brazil,60.8675805806435,Index (2010=100),World Bank
2003,BRA,Brazil,69.8241962003047,Index (2010=100),World Bank
2004,BRA,Brazil,74.430627668128,Index (2010=100),World Bank
2005,BRA,Brazil,79.5436673306746,Index (2010=100),World Bank
2006,BRA,Brazil,82.8714308457339,Index (2010=100),World Bank
2007,BRA,Brazil,85.8890058743968,Index (2010=100),World Bank
2008,BRA,Brazil,90.7662937251916,Index (2010=100),World Bank
2009,BRA,Brazil,95.202981748031,Index (2010=100),World Bank
2010,BRA,Brazil,100.0,Index (2010=100),World Bank
2011,BRA,Brazil,106.636449622131,Index (2010=100),World Bank
2012,BRA,Brazil,112.398549260784,Index (2010=100),World Bank
2013,BRA,Brazil,119.372104441451,Index (2010=100),World Bank
2014,BRA,Brazil,126.927212865611,Index (2010=100),World Bank
2015,BRA,Brazil,138.388614560102,Index (2010=100),World Bank
2016,BRA,Brazil,150.482594206408,Index (2010=100),World Bank
2017,BRA,Brazil,155.668786230018,Index (2010=100),World Bank
