year,country_code,country_name,value,unit,source
1974,CAN,Canada,56.0014920686587,% of GDP,World Bank
1975,CAN,Canada,57.1779548567463,% of GDP,World Bank
1976,CAN,Canada,58.7978234162864,% of GDP,World Bank
1977,CAN,Canada,73.988578562324,% of GDP,World Bank
1978,CAN,Canada,78.5442196443655,% of GDP,World Bank
1979,CAN,Canada,81.8777952694103,% of GDP,World Bank
1980,CAN,Canada,81.8261941129097,% of GDP,World Bank
1981,CAN,Canada,93.0350365676869,% of GDP,World Bank
1982,CAN,Canada,90.7903787150839,% of GDP,World Bank
1983,CAN,Canada,87.1618927360936,% of GDP,World Bank
1984,CAN,Canada,86.657387886213,% of GDP,World Bank
1985,CAN,Canada,87.0644985170801,% of GDP,World Bank
1986,CAN,Canada,89.1466494502782,% of GDP,World Bank
1987,CAN,Canada,89.2721333853354,% of GDP,World Bank
1988,CAN,Canada,91.6572817733142,% of GDP,World Bank
1989,CAN,Canada,96.057649211783,% of GDP,World Bank
1990,CAN,Canada,100.224873867902,% of GDP,World Bank
1991,CAN,Canada,106.435271804415,% of GDP,World Bank
1992,CAN,Canada,110.760735820588,% of GDP,World Bank
1993,CAN,Canada,112.053218247557,% of GDP,World Bank
1994,CAN,Canada,111.569348411307,% of GDP,World Bank
1995,CAN,Canada,110.652448651489,% of GDP,World Bank
1996,CAN,Canada,115.187699020974,% of GDP,World Bank
1997,CAN,Canada,117.093820122506,% of GDP,World Bank
1998,CAN,Canada,115.546369333613,% of GDP,World Bank
1999,CAN,Canada,113.950851111748,% of GDP,World Bank
2000,CAN,Canada,110.691796036935,% of GDP,World Bank
2001,CAN,Canada,197.192767630522,% of GDP,World Bank
2002,CAN,Canada,191.626759359866,% of GDP,World Bank
2003,CAN,Canada,185.657921469115,% of GDP,World Bank
2004,CAN,Canada,187.9080240379,% of GDP,World Bank
2005,CAN,Canada,195.889823948542,% of GDP,World Bank
2006,CAN,Canada,212.843737162345,% of GDP,World Bank
2009,IDN,Indonesia,36.9663867888269,% of GDP,World Bank
2010,IDN,Indonesia,34.1824385106985,% of GDP,World Bank
2011,IDN,Indonesia,36.550140252786,% of GDP,World Bank
2012,IDN,Indonesia,40.7680328726521,% of GDP,World Bank
2013,IDN,Indonesia,43.4292637347276,% of GDP,World Bank
2014,IDN,Indonesia,43.4238447014359,% of GDP,World Bank
2015,IDN,Indonesia,46.7740662515085,% of GDP,World Bank
2016,IDN,Indonesia,47.9556737688496,% of GDP,World Bank
2017,IDN,Indonesia,46.9639357186983,% of GDP,World Bank
2018,IDN,Indonesia,47.2318282755401,% of GDP,World Bank
2019,IDN,Indonesia,47.12942183178,% of GDP,World Bank
2020,IDN,Indonesia,53.6943526286924,% of GDP,World Bank
2021,IDN,Indonesia,54.3146304560427,% of GDP,World Bank
2022,IDN,Indonesia,51.1292805485673,% of GDP,World Bank
2023,IDN,Indonesia,50.3701514239378,% of GDP,World Bank
2024,IDN,Indonesia,50.0955759359747,% of GDP,World Bank
1970,JPN,Japan,127.30990330017,% of GDP,World Bank
1971,JPN,Japan,139.959108855898,% of GDP,World Bank
1972,JPN,Japan,152.007382334756,% of GDP,World Bank
1973,JPN,Japan,149.707879101861,% of GDP,World Bank
1974,JPN,Japan,146.042560493966,% of GDP,World Bank
1975,JPN,Japan,155.905961757231,% of GDP,World Bank
1976,JPN,Japan,161.171826855248,% of GDP,World Bank
1977,JPN,Japan,163.53252625863,% of GDP,World Bank
1978,JPN,Japan,169.07818412737,% of GDP,World Bank
1979,JPN,Japan,173.58512350942,% of GDP,World Bank
1980,JPN,Japan,178.69584759831,% of GDP,World Bank
1981,JPN,Japan,184.51480777333,% of GDP,World Bank
1982,JPN,Japan,193.721003558398,% of GDP,World Bank
1983,JPN,Japan,201.265156416839,% of GDP,World Bank
1984,JPN,Japan,206.405421199035,% of GDP,World Bank
1985,JPN,Japan,210.398615962089,% of GDP,World Bank
1986,JPN,Japan,219.456885025335,% of GDP,World Bank
1987,JPN,Japan,231.370337527761,% of GDP,World Bank
1988,JPN,Japan,239.228952766691,% of GDP,World Bank
1989,JPN,Japan,246.774722542804,% of GDP,World Bank
1990,JPN,Japan,248.752913265283,% of GDP,World Bank
1991,JPN,Japan,246.012922986886,% of GDP,World Bank
1992,JPN,Japan,253.028198123933,% of GDP,World Bank
1993,JPN,Japan,262.71214661392,% of GDP,World Bank
1994,JPN,Japan,268.663093607737,% of GDP,World Bank
1995,JPN,Japan,272.574425316829,% of GDP,World Bank
1996,JPN,Japan,275.743373177452,% of GDP,World Bank
1997,JPN,Japan,262.276656191001,% of GDP,World Bank
1998,JPN,Japan,280.827176422477,% of GDP,World Bank
1999,JPN,Japan,292.052964957859,% of GDP,World Bank
2000,JPN,Japan,290.196962110143,% of GDP,World Bank
2001,JPN,Japan,280.530390006151,% of GDP,World Bank
2002,JPN,Japan,288.405464689291,% of GDP,World Bank
2003,JPN,Japan,297.168610975335,% of GDP,World Bank
