video_id,comment_id,comment_type,parent_comment_id,collected_at,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,comment_text_display,comment_text_original,comment_text_length,like_count,reply_count,moderation_status,published_at,updated_at,viewer_rating,can_rate,sentiment_score,sentiment_category,subjectivity_score,brand_mentions,competitor_mentions,analyzed_at
GzeIAO-ahiM,UgzRcttPNoKiN-8Q3Et4AaABAg,top_level,,2025-10-12T13:09:13.526623,@DragonDiBlue_official,https://yt3.ggpht.com/-xAOvmSrIv3P8EVKQsGTb5K-gldd4fNYRxpGE404muBi85GtKlJEzjf1Az8UbvoLoOfNdzelUg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@DragonDiBlue_official,UCpWhbPK_39OLbrz3ZQ8EnwA,"Please make phones again, the LG Wing is so cool.","Please make phones again, the LG Wing is so cool.",49,5,3,,2025-07-31T21:09:28Z,2025-07-31T21:09:28Z,none,True,0.175,positive,0.65,lg,,2025-10-12T13:09:25.406212
GzeIAO-ahiM,UgzRcttPNoKiN-8Q3Et4AaABAg.ALFrIaRqnxAALH1wgNGqm3,reply,UgzRcttPNoKiN-8Q3Et4AaABAg,2025-10-12T13:09:13.526623,@Random-Dude-41,https://yt3.ggpht.com/q9BRhWbZBPR8JagoiCTVSLWl0yJ7BmSmiUrDR_NviZVxILDZfFVcZpNlDL80qfPAf7JwHWGyDA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Random-Dude-41,UC6VVdxcWBFhvcWiXol3xW8w,Bro I still have a lg iPad from when I was younger,Bro I still have a lg iPad from when I was younger,50,2,0,,2025-08-01T08:10:27Z,2025-08-01T08:10:27Z,none,True,0.0,neutral,0.0,"ipad, lg",,2025-10-12T13:09:25.406212
GzeIAO-ahiM,UgzRcttPNoKiN-8Q3Et4AaABAg.ALFrIaRqnxAAMFG32VMP1u,reply,UgzRcttPNoKiN-8Q3Et4AaABAg,2025-10-12T13:09:13.526623,@OkarunFan77,https://yt3.ggpht.com/3BsyyDD_dW3l5jaViTdW_wc16kl5mW3_uXtxO-_jUoc37G-DSu2vLS4NkqxMR6Nimpr6925keQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@OkarunFan77,UCE-_bOkwuPxQyHQSXdopY8A,Nah,Nah,3,0,0,,2025-08-25T12:06:41Z,2025-08-25T12:06:41Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:09:25.406212
GzeIAO-ahiM,UgzRcttPNoKiN-8Q3Et4AaABAg.ALFrIaRqnxAANFr-WGE-km,reply,UgzRcttPNoKiN-8Q3Et4AaABAg,2025-10-12T13:09:13.526623,@abdokiar,https://yt3.ggpht.com/guws83yligpDPlmlz5kUoh4bqb5GXjlk3GXVE2yVcx7UQURjAXL4gB3rNQDooBxo8l_Yt9Xr=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@abdokiar,UCNIerEV9xkAtJWlCoMTetOA,​@Random-Dude-41tablet not ipad,​@Random-Dude-41tablet not ipad,31,0,0,,2025-09-19T14:09:39Z,2025-09-19T14:09:39Z,none,True,0.0,neutral,0.0,ipad,,2025-10-12T13:09:25.406212
GzeIAO-ahiM,Ugzq7DhRQVG-qoPBT514AaABAg,top_level,,2025-10-12T13:09:13.526623,@thispersonis-taken,https://yt3.ggpht.com/pMAUy5Zq61UkU22_tRHefQ6EaTLxVBys8XrgLQ3R87f2WGcmMdEiTbk6PjFyFciLorCNuZDhYJs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@thispersonis-taken,UCbe08HTc11JT8vH8YitHMJQ,please change the remote. i really want to get a 8k oled tv but that remote is making me reconsider.,please change the remote. i really want to get a 8k oled tv but that remote is making me reconsider.,100,0,0,,2025-09-21T08:38:58Z,2025-09-21T08:38:58Z,none,True,0.0,neutral,0.2,,,2025-10-12T13:09:25.406212
GzeIAO-ahiM,UgwRaWEYn8yFIab6_fx4AaABAg,top_level,,2025-10-12T13:09:13.526623,@saadahmed129,https://yt3.ggpht.com/ytc/AIdro_kSGfJDEc-ehaGCvwnyuNBr8kfhML-Yew76Nj8hUUSrrke4-fZIU5cLYjQMy1xZcxRHzA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@saadahmed129,UCbasiGgR31zAJ24QgAFSF5g,LG OLED evo C5 55 New 🎉❤🤩😍❤️,LG OLED evo C5 55 New 🎉❤🤩😍❤️,28,1,0,,2025-08-01T01:34:28Z,2025-08-01T01:34:28Z,none,True,0.068,neutral,0.455,lg,,2025-10-12T13:09:25.407208
GzeIAO-ahiM,UgxNVwFgm84RCWdYK7R4AaABAg,top_level,,2025-10-12T13:09:13.526623,@RemadniAhmed-j4w,https://yt3.ggpht.com/vM4Mcq2drh4bpDRe_O-lZWKv7FMD_UoQhx90a-DOLda3cEBleBMCY6EDRy1K8PviG8MdntJ7tQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@RemadniAhmed-j4w,UCyWS-r0ju4K-dKqE3ITCPjQ,❤,❤,1,0,0,,2025-08-01T02:13:53Z,2025-08-01T02:13:53Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:09:25.407208
GzeIAO-ahiM,Ugz3Hq3qW_6TgFk7c7V4AaABAg,top_level,,2025-10-12T13:09:13.526623,@KhantZinWin-q4r,https://yt3.ggpht.com/QsuCZ4fOFvCi0-jgRe4xksIyhVst1DCCTseCTbAwCmE3mWYyEupjNyNW7ivz8Kj-hhmA5jyfKA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@KhantZinWin-q4r,UCISSmrXxZJaKQqucfOrTdyg,Hsn business with this book was the other hand was going,Hsn business with this book was the other hand was going,56,0,0,,2025-08-11T13:46:29Z,2025-08-11T13:46:29Z,none,True,-0.062,neutral,0.375,,,2025-10-12T13:09:25.407208
GzeIAO-ahiM,UgwpKM9Pr8m9QCZ_eLx4AaABAg,top_level,,2025-10-12T13:09:13.526623,@brunarangel5277,https://yt3.ggpht.com/ytc/AIdro_mMYHR0ogyMx7797_aBmG4oTa0L7zfqUxH9e_9ePB86PV-0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@brunarangel5277,UCABhBCvBInVeXQGoYRt5cIQ,❤❤❤❤❤❤❤❤❤❤❤❤,❤❤❤❤❤❤❤❤❤❤❤❤,12,0,0,,2025-08-01T22:05:50Z,2025-08-01T22:05:50Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:09:25.407208
JAaKOvHgk0s,Ugxk_0QB8KZAJDF0Gql4AaABAg,top_level,,2025-10-12T13:09:13.889773,@mikelgold_1986,https://yt3.ggpht.com/QloF3xoYC1WeREk-sTZZFaRs3spKdZeXfKnJDCmA4GZFaVdoThNZX0meQ93qe0IJPlxSRnn5=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mikelgold_1986,UC0EhL12ha_MVqkG6nb5czQw,good pm lods,good pm lods,12,0,0,,2025-09-20T13:51:50Z,2025-09-20T13:51:50Z,none,True,0.85,positive,0.6,,,2025-10-12T13:09:25.407208
