video_id,comment_id,comment_type,parent_comment_id,collected_at,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,comment_text_display,comment_text_original,comment_text_length,like_count,reply_count,moderation_status,published_at,updated_at,viewer_rating,can_rate,sentiment_score,sentiment_category,subjectivity_score,brand_mentions,competitor_mentions,analyzed_at
iv3gFxZak0I,UgzAqSNcYgu8jBPTXdV4AaABAg,top_level,,2025-10-12T13:08:47.711658,@TechSteve,https://yt3.ggpht.com/5HMRGpuxyZBMLXf7rJ6yaD-QEs9IzQAOKCXCZY_lGX_C0FbrMBenBBU0kxc8fJpfF9_89s3Sf2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TechSteve,UCmHO0Rw7nBFK2233om_vyWA,"🔹 Join 4K TV Chat Community <a href=""https://geni.us/KZ0yXs8"">https://geni.us/KZ0yXs8</a><br>Samsung U8000F 43&quot; <a href=""https://geni.us/cOl9ZS2"">https://geni.us/cOl9ZS2</a><br>Samsung U8000F 50&quot; <a href=""https://geni.us/Z6KaIid"">https://geni.us/Z6KaIid</a><br>Samsung U8000F 55&quot;  <a href=""https://geni.us/9lQJd"">https://geni.us/9lQJd</a><br>Samsung U8000F 58&quot; <a href=""https://geni.us/I8f6BD8"">https://geni.us/I8f6BD8</a><br>Samsung U8000F 65&quot;  <a href=""https://geni.us/WZX8lJ"">https://geni.us/WZX8lJ</a><br>Samsung U8000F 75&quot;  <a href=""https://geni.us/TtOcPA8"">https://geni.us/TtOcPA8</a><br>Samsung U8000F 85&quot;  <a href=""https://geni.us/7oNI"">https://geni.us/7oNI</a><br><br>85&quot; Samsung Q7F <a href=""https://geni.us/CzNzbTC"">https://geni.us/CzNzbTC</a><br>75&quot; Samsung Q7F <a href=""https://geni.us/xoppYy"">https://geni.us/xoppYy</a><br>65&quot; Samsung Q7F <a href=""https://geni.us/Qfg1bnp"">https://geni.us/Qfg1bnp</a><br>55&quot; Samsung Q7F <a href=""https://geni.us/KHTv"">https://geni.us/KHTv</a><br>50&quot; Samsung Q7F <a href=""https://geni.us/NEVKKAM"">https://geni.us/NEVKKAM</a><br>43&quot; Samsung Q7F <a href=""https://geni.us/XXGqhkg"">https://geni.us/XXGqhkg</a><br><br>HDMI eARC to optical and RCA Adapter <a href=""https://geni.us/7DzriNW"">https://geni.us/7DzriNW</a><br><br>➡ DISCLAIMER: This video and description contains affiliate links, The channel gets a small commission for purchases made via these links. <br>This helps the channel purchase more products for reviews and allow me to create better content for your viewing.","🔹 Join 4K TV Chat Community https://geni.us/KZ0yXs8
Samsung U8000F 43"" https://geni.us/cOl9ZS2
Samsung U8000F 50"" https://geni.us/Z6KaIid
Samsung U8000F 55""  https://geni.us/9lQJd
Samsung U8000F 58"" https://geni.us/I8f6BD8
Samsung U8000F 65""  https://geni.us/WZX8lJ
Samsung U8000F 75""  https://geni.us/TtOcPA8
Samsung U8000F 85""  https://geni.us/7oNI

85"" Samsung Q7F https://geni.us/CzNzbTC
75"" Samsung Q7F https://geni.us/xoppYy
65"" Samsung Q7F https://geni.us/Qfg1bnp
55"" Samsung Q7F https://geni.us/KHTv
50"" Samsung Q7F https://geni.us/NEVKKAM
43"" Samsung Q7F https://geni.us/XXGqhkg

HDMI eARC to optical and RCA Adapter https://geni.us/7DzriNW

➡ DISCLAIMER: This video and description contains affiliate links, The channel gets a small commission for purchases made via these links. 
This helps the channel purchase more products for reviews and allow me to create better content for your viewing.",1586,2,0,,2025-08-06T17:49:23Z,2025-08-06T17:49:23Z,none,True,0.125,positive,0.467,samsung,,2025-10-12T13:08:58.407772
iv3gFxZak0I,Ugwb4MZxFjHlG4bulvl4AaABAg,top_level,,2025-10-12T13:08:47.711658,@amorimarthur12,https://yt3.ggpht.com/q4cW35mFe8pqJ7hrz1dDLuMPxU890ao30JIjKmhbjFB53qgcerbZYvl0rynUPXgkZJ-p4cxUbg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@amorimarthur12,UC9XCGYWTP-wDR0KZJFHBn3g,"I recently bought this crystal Samsung, and so far I&#39;m really enjoying it, incredible quality, good price","I recently bought this crystal Samsung, and so far I'm really enjoying it, incredible quality, good price",109,2,0,,2025-10-07T23:50:31Z,2025-10-07T23:50:31Z,none,True,0.72,positive,0.67,samsung,,2025-10-12T13:08:58.408769
iv3gFxZak0I,UgzjNUz1n6tJum5jyVZ4AaABAg,top_level,,2025-10-12T13:08:47.711658,@RodMurray777,https://yt3.ggpht.com/KH98rxoBmvDXTVfib16tU68ICTdp_rT_uOKjrtd-3qphvt_1pPrJcSP06X1KHGzc6tK6y7_NEw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@RodMurray777,UCUR0JS6cygeWkkS03w6AJRg,Another great video! The U8000F has a strong green contrast look on the screen. It looks weird; I have never seen that look on other Crystal Samsung TVs.,Another great video! The U8000F has a strong green contrast look on the screen. It looks weird; I have never seen that look on other Crystal Samsung TVs.,153,9,2,,2025-08-06T18:11:26Z,2025-08-06T18:11:26Z,none,True,0.561,positive,0.632,samsung,,2025-10-12T13:08:58.408769
iv3gFxZak0I,UgzjNUz1n6tJum5jyVZ4AaABAg.ALUzgsB8fbPALVQqzAwRTv,reply,UgzjNUz1n6tJum5jyVZ4AaABAg,2025-10-12T13:08:47.711658,@misterlexx2721,https://yt3.ggpht.com/ytc/AIdro_kAvXwKhF9W-758960a9XjLrXxvSdrZkX4XZl0vZ0CotMcCwuJe0HKveyMX8NMWQ9UFfw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@misterlexx2721,UCjzbINqigIIFSYu--lzNHPw,That&#39;s just in movie mode only.,That's just in movie mode only.,35,2,0,,2025-08-06T22:17:29Z,2025-08-06T22:17:29Z,none,True,0.0,neutral,1.0,,,2025-10-12T13:08:58.409767
iv3gFxZak0I,UgzjNUz1n6tJum5jyVZ4AaABAg.ALUzgsB8fbPALVVsN2h99D,reply,UgzjNUz1n6tJum5jyVZ4AaABAg,2025-10-12T13:08:47.711658,@RodMurray777,https://yt3.ggpht.com/KH98rxoBmvDXTVfib16tU68ICTdp_rT_uOKjrtd-3qphvt_1pPrJcSP06X1KHGzc6tK6y7_NEw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@RodMurray777,UCUR0JS6cygeWkkS03w6AJRg,@@misterlexx2721 OH Okay,@@misterlexx2721 OH Okay,24,0,0,,2025-08-06T23:01:22Z,2025-08-06T23:01:22Z,none,True,0.25,positive,0.5,,,2025-10-12T13:08:58.409767
iv3gFxZak0I,UgxQZbVnP3ONnCFH0PJ4AaABAg,top_level,,2025-10-12T13:08:47.711658,@Modern-Loop,https://yt3.ggpht.com/ytc/AIdro_mtrAsuKEly5y-k7mBzt1HD2MOrSdDLZxEoAZ9UzLpTvVU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Modern-Loop,UC3i30AiTWwKSCLneg_Ydc2A,Very nice comparison <br>Bought Q7F yesterday <br>&amp; happy with the picture quality ❤,"Very nice comparison 
Bought Q7F yesterday 
& happy with the picture quality ❤",88,15,1,,2025-08-10T18:48:29Z,2025-08-10T18:48:29Z,none,True,0.895,positive,1.0,,,2025-10-12T13:08:58.409767
iv3gFxZak0I,UgxQZbVnP3ONnCFH0PJ4AaABAg.ALeM6ncRSr3AMisEvfMijw,reply,UgxQZbVnP3ONnCFH0PJ4AaABAg,2025-10-12T13:08:47.711658,@icecube2369,https://yt3.ggpht.com/ytc/AIdro_lNFF32vZ0ty9lRGzSaXsUp3ZCXqs411SSmLvWrJsnLarp7=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@icecube2369,UCzA6j0BQiadThRZFbYaDk_A,Hi bro 85inc cyrystal uhd 85u8000f<br>75 inc Q7f wich one should ı buy,"Hi bro 85inc cyrystal uhd 85u8000f
75 inc Q7f wich one should ı buy",70,0,0,,2025-09-06T09:26:19Z,2025-09-06T09:26:19Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:08:58.410763
iv3gFxZak0I,UgwUc6MLC-EYOycjaTt4AaABAg,top_level,,2025-10-12T13:08:47.711658,@mohammedfatah3125,https://yt3.ggpht.com/-C6aE-NyknhPq9PRKN1SReFz7hhbLRTV1P7hRGhtM-UzHqs558woPAFyMotgsUHi2f1S1NEm=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mohammedfatah3125,UCaB0pFzqHWNyLlPf1-87psg,It’s sad to see Samsung damaging its reputation by making its TVs worse each year compared to other brands.,It’s sad to see Samsung damaging its reputation by making its TVs worse each year compared to other brands.,107,10,0,,2025-08-06T20:57:04Z,2025-08-06T20:57:04Z,none,True,-0.171,negative,0.658,samsung,"other, worse",2025-10-12T13:08:58.410763
iv3gFxZak0I,UgykGyZHZc5k8RAM_e94AaABAg,top_level,,2025-10-12T13:08:47.711658,@boschmidt9516,https://yt3.ggpht.com/ytc/AIdro_m6je4JSIEVBvjt2WiNpFskKnFc9Fkkfh82_gJAxCCO=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@boschmidt9516,UCNYxmEE8oGqDxqzTJPrKejA,"Great Comparison, pick the U8000F for 200 bucks only.","Great Comparison, pick the U8000F for 200 bucks only.",53,7,0,,2025-08-15T11:21:58Z,2025-08-15T11:21:58Z,none,True,0.7,positive,0.875,,,2025-10-12T13:08:58.411761
iv3gFxZak0I,UgyNx-dt4ZigPLNKi7d4AaABAg,top_level,,2025-10-12T13:08:47.711658,@shermn8,https://yt3.ggpht.com/ytc/AIdro_kgBeTIrVNy5mRjQSb36rrk1muWDk1ko4lGs-YR44lL7w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@shermn8,UCvqQKEpM_UGbmnoyW0BAxsw,"Thank you for the comparison videos, I just purchased the Q7f for my sister earlier this evening.  For a replacement from a 19-year-old Sharp, she&#39;ll love a Samsung.","Thank you for the comparison videos, I just purchased the Q7f for my sister earlier this evening.  For a replacement from a 19-year-old Sharp, she'll love a Samsung.",169,7,0,,2025-08-19T06:14:49Z,2025-08-19T06:14:49Z,none,True,0.562,positive,0.617,samsung,,2025-10-12T13:08:58.411761
