video_id,comment_id,comment_type,parent_comment_id,collected_at,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,comment_text_display,comment_text_original,comment_text_length,like_count,reply_count,moderation_status,published_at,updated_at,viewer_rating,can_rate,sentiment_score,sentiment_category,subjectivity_score,brand_mentions,competitor_mentions,analyzed_at
Jfgi3X5jBY0,Ugwzame90TIjBYuUM4h4AaABAg,top_level,,2025-10-12T13:08:05.229428,@TechSteve,https://yt3.ggpht.com/5HMRGpuxyZBMLXf7rJ6yaD-QEs9IzQAOKCXCZY_lGX_C0FbrMBenBBU0kxc8fJpfF9_89s3Sf2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TechSteve,UCmHO0Rw7nBFK2233om_vyWA,"Here&#39;s the TV that I used in the video<br>Samsung S95F 83&quot; <a href=""https://geni.us/804H"">https://geni.us/804H</a><br>Samsung S95F 77&quot; <a href=""https://geni.us/AXQvoJK"">https://geni.us/AXQvoJK</a><br>Samsung S95F 65&quot; <a href=""https://geni.us/5P0TQUy"">https://geni.us/5P0TQUy</a> &quot;USED ON VIDEO&quot;<br>Samsung S95F 55&quot; <a href=""https://geni.us/0GgF"">https://geni.us/0GgF</a><br><br>➡ DISCLAIMER: This video and description contains affiliate links, The channel gets a small commission for purchases made via these links. <br>This helps the channel purchase more products for reviews and allow me to create better content for your viewing.","Here's the TV that I used in the video
Samsung S95F 83"" https://geni.us/804H
Samsung S95F 77"" https://geni.us/AXQvoJK
Samsung S95F 65"" https://geni.us/5P0TQUy ""USED ON VIDEO""
Samsung S95F 55"" https://geni.us/0GgF

➡ DISCLAIMER: This video and description contains affiliate links, The channel gets a small commission for purchases made via these links. 
This helps the channel purchase more products for reviews and allow me to create better content for your viewing.",668,0,0,,2025-09-19T20:34:06Z,2025-09-19T20:34:06Z,none,True,0.125,positive,0.467,samsung,,2025-10-12T13:08:18.317417
Jfgi3X5jBY0,Ugxi7gqnLNG5jTXudOd4AaABAg,top_level,,2025-10-12T13:08:05.229428,@hyperxflash,https://yt3.ggpht.com/hu4eDVsNDgyhT3sb7Q8HqngKekIotcn8PuKM9PSWpYrn9F42gxcYNHQClAo_764p8DyLuRE3kDw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hyperxflash,UC5XFqeEQmnXfGmUyGXIWhSg,Thanks Steve this is great and so is samsung 😎,Thanks Steve this is great and so is samsung 😎,46,2,0,,2025-09-19T23:31:10Z,2025-09-19T23:31:10Z,none,True,0.75,positive,0.475,samsung,,2025-10-12T13:08:18.318414
Jfgi3X5jBY0,UgwUvISwSsqKW82Y0Kh4AaABAg,top_level,,2025-10-12T13:08:05.229428,@eddiehollner8801,https://yt3.ggpht.com/ytc/AIdro_m6KIW6emxuIt_WZEoNTWa2ZdhAKyb0QGq2iOGNo29OzHg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@eddiehollner8801,UCsPtEV7wCZzRYoA88w9CUfg,Hey Steve,Hey Steve,9,1,0,,2025-09-22T20:19:37Z,2025-09-22T20:19:37Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:08:18.318414
Jfgi3X5jBY0,UgzAGAEJ6hM3slvsTI54AaABAg,top_level,,2025-10-12T13:08:05.229428,@samanthalake140,https://yt3.ggpht.com/ytc/AIdro_ndYJhb8WUfp53Lso7xBS6Oc8znxTVbwZ3PeEbcMkk=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@samanthalake140,UCPnaiObWMy2cIrJxtpM82kA,"In the video at <a href=""https://www.youtube.com/watch?v=Jfgi3X5jBY0&amp;t=303"">5:03</a> there’s a pop up on the tv telling you to explore the features by hitting that button on the remote. How do you get that and others (like telling you how to mute when you increase/decrease the volume) from popping up on the screen? I’ve messed around with settings and I can’t figure it out",In the video at 5:03 there’s a pop up on the tv telling you to explore the features by hitting that button on the remote. How do you get that and others (like telling you how to mute when you increase/decrease the volume) from popping up on the screen? I’ve messed around with settings and I can’t figure it out,379,0,1,,2025-10-09T14:39:25Z,2025-10-09T14:39:25Z,none,True,-0.05,neutral,0.2,,,2025-10-12T13:08:18.318414
Jfgi3X5jBY0,UgzAGAEJ6hM3slvsTI54AaABAg.AO3PJ61901nAO3fjClTKF9,reply,UgzAGAEJ6hM3slvsTI54AaABAg,2025-10-12T13:08:05.229428,@TechSteve,https://yt3.ggpht.com/5HMRGpuxyZBMLXf7rJ6yaD-QEs9IzQAOKCXCZY_lGX_C0FbrMBenBBU0kxc8fJpfF9_89s3Sf2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TechSteve,UCmHO0Rw7nBFK2233om_vyWA,i’m sure it’s baked in,i’m sure it’s baked in,22,0,0,,2025-10-09T17:11:40Z,2025-10-09T17:11:40Z,none,True,0.25,positive,0.889,,,2025-10-12T13:08:18.318414
Jfgi3X5jBY0,UgziZ1JuYN0ip8hocxV4AaABAg,top_level,,2025-10-12T13:08:05.229428,@modriklife,https://yt3.ggpht.com/nGhFKEbrat8W3ykA846ZgRFzp5zD1abT6KLe6Eq9pOmYE1lLkqWsMrhIYqxAVivCzPcSbv53Zu4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@modriklife,UCEcmn50cy5sHpj5GuO_fvFQ,Do these features work on samsung neo qled qn80f?<br>It’ll arrive today and i’m super excited to use it,"Do these features work on samsung neo qled qn80f?
It’ll arrive today and i’m super excited to use it",103,0,1,,2025-10-01T12:29:28Z,2025-10-01T12:29:28Z,none,True,0.177,positive,0.708,samsung,,2025-10-12T13:08:18.319390
Jfgi3X5jBY0,UgziZ1JuYN0ip8hocxV4AaABAg.ANj_4JEIPz4ANk6XfJ--fp,reply,UgziZ1JuYN0ip8hocxV4AaABAg,2025-10-12T13:08:05.229428,@TechSteve,https://yt3.ggpht.com/5HMRGpuxyZBMLXf7rJ6yaD-QEs9IzQAOKCXCZY_lGX_C0FbrMBenBBU0kxc8fJpfF9_89s3Sf2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TechSteve,UCmHO0Rw7nBFK2233om_vyWA,some,some,4,0,0,,2025-10-01T17:30:35Z,2025-10-01T17:30:35Z,none,True,0.0,neutral,0.0,,,2025-10-12T13:08:18.319390
Jfgi3X5jBY0,Ugx3VpMYVlHcx4Q13uJ4AaABAg,top_level,,2025-10-12T13:08:05.229428,@BikashPanda-k4l,https://yt3.ggpht.com/ytc/AIdro_nSNiYSvPvCCpOaA3XQDR5Z1JbETTCUrC0epju2BYRcUAhWBpYB6ETxcv4epfmtCNjofw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@BikashPanda-k4l,UCcyVRA90vSD2LG7iq5Np3fw,Please review the LG G5 OLED,Please review the LG G5 OLED,28,0,1,,2025-09-21T07:19:57Z,2025-09-21T07:19:57Z,none,True,0.0,neutral,0.0,lg,,2025-10-12T13:08:18.319390
Jfgi3X5jBY0,Ugx3VpMYVlHcx4Q13uJ4AaABAg.ANKGhbhzDb1ANQB3g8LnPX,reply,Ugx3VpMYVlHcx4Q13uJ4AaABAg,2025-10-12T13:08:05.229428,@TechSteve,https://yt3.ggpht.com/5HMRGpuxyZBMLXf7rJ6yaD-QEs9IzQAOKCXCZY_lGX_C0FbrMBenBBU0kxc8fJpfF9_89s3Sf2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TechSteve,UCmHO0Rw7nBFK2233om_vyWA,sorry no plans to review,sorry no plans to review,24,0,0,,2025-09-23T14:26:07Z,2025-09-23T14:26:07Z,none,True,-0.25,negative,1.0,,,2025-10-12T13:08:18.319390
Jfgi3X5jBY0,Ugx4b9IehAWF_SLffdR4AaABAg,top_level,,2025-10-12T13:08:05.229428,@tusharpal3983,https://yt3.ggpht.com/54s--K0l3bH_JR5kZgQ-P0Tknz86flCtz7Rs0RP590BliOkLl9XpiAEsHflC-e7mhAAFZeaNMPo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@tusharpal3983,UCMtjG1Rlu_0lLH_2e0n8i3Q,Which led Tv is better Sony bravia 2 ii s25m2 or s22bm2 and Samsung vision AI QLED tv,Which led Tv is better Sony bravia 2 ii s25m2 or s22bm2 and Samsung vision AI QLED tv,85,0,0,,2025-09-20T06:54:52Z,2025-09-20T06:54:52Z,none,True,0.25,positive,0.5,"samsung, sony",,2025-10-12T13:08:18.319390
