video_id,comment_id,comment_type,parent_comment_id,collected_at,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,comment_text_display,comment_text_original,comment_text_length,like_count,reply_count,moderation_status,published_at,updated_at,viewer_rating,can_rate,sentiment_score,sentiment_category,subjectivity_score,brand_mentions,competitor_mentions,analyzed_at
fE3Goap-Q1I,Ugz6JXXTYB7LerVUMGR4AaABAg,top_level,,2025-10-05T14:43:42.348673,@LegitPick,https://yt3.ggpht.com/ytc/AIdro_nYh5gGZbiCk7YSN-q6PfcousxbCcTcKvgLzvDrcGfOsA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@LegitPick,UCiMf_b_9J-w-sQSlj7HyCJw,"► Links to the Best Samsung TVs 
<br>
<br>Chapters
<br><a href=""https://www.youtube.com/watch?v=fE3Goap-Q1I&amp;t=61"">01:01</a>    ► 6. Samsung S95F OLED  <a href=""https://geni.us/zG7YBc"">https://geni.us/zG7YBc
</a><br><a href=""https://www.youtube.com/watch?v=fE3Goap-Q1I&amp;t=169"">02:49</a>    ► 5. Samsung QN65S95D   <a href=""https://geni.us/QOfGbUr"">https://geni.us/QOfGbUr
</a><br><a href=""https://www.youtube.com/watch?v=fE3Goap-Q1I&amp;t=287"">04:47</a>    ► 4. Samsung S90F OLED  <a href=""https://geni.us/lje9q"">https://geni.us/lje9q
</a><br><a href=""https://www.youtube.com/watch?v=fE3Goap-Q1I&amp;t=386"">06:26</a>    ► 3. Samsung S85F OLED   <a href=""https://geni.us/9iDJMc"">https://geni.us/9iDJMc
</a><br><a href=""https://www.youtube.com/watch?v=fE3Goap-Q1I&amp;t=485"">08:05</a>    ► 2. Samsung Q60D      <a href=""https://geni.us/Knpa"">https://geni.us/Knpa
</a><br><a href=""https://www.youtube.com/watch?v=fE3Goap-Q1I&amp;t=601"">10:01</a>    ► 1. Samsung Q80D       <a href=""https://geni.us/25CYLdg"">https://geni.us/25CYLdg</a>","► Links to the Best Samsung TVs 

Chapters
01:01    ► 6. Samsung S95F OLED  https://geni.us/zG7YBc
02:49    ► 5. Samsung QN65S95D   https://geni.us/QOfGbUr
04:47    ► 4. Samsung S90F OLED  https://geni.us/lje9q
06:26    ► 3. Samsung S85F OLED   https://geni.us/9iDJMc
08:05    ► 2. Samsung Q60D      https://geni.us/Knpa
10:01    ► 1. Samsung Q80D       https://geni.us/25CYLdg",1037,0,0,,2025-07-26T14:09:56Z,2025-07-26T14:09:56Z,none,True,1.0,positive,0.3,samsung,chapters,2025-10-05T14:43:44.230916
fE3Goap-Q1I,Ugw9ns_D1X8YP0qYQZN4AaABAg,top_level,,2025-10-05T14:43:42.348673,@ComfyKenny,https://yt3.ggpht.com/JmJ_cb6ZxOUM0l67LZnpNiyy4vreZXH_FAMWIMh9TJx2y2tZIlLYDax0iEPK3EJkhQ8phAWepQc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ComfyKenny,UC8Y86cUZWmqVTC5igQbWn3A,"This since the video my Samsung tv is Based on the sticker on the back of the TV, the model number is","This since the video my Samsung tv is Based on the sticker on the back of the TV, the model number is",101,0,0,,2025-08-01T16:49:28Z,2025-08-01T16:49:28Z,none,True,0.0,neutral,0.0,samsung,,2025-10-05T14:43:44.230916
fE3Goap-Q1I,UgxcXx0HA9a7u9R0Nfh4AaABAg,top_level,,2025-10-05T14:43:42.348673,@PrimeLegitReviews,https://yt3.ggpht.com/9UM1K5-bJkotgnCqOvsbi3AUCa5YVDEmerDhmmEVAYFEEtNr8Ko680OINAR7Z-IWo92GYBMX=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@PrimeLegitReviews,UCwx6RzMckmZrdI54NfeCarw,"🔥 Samsung is really flexing in 2025! Personally, I think the Frame Pro is the most slept-on — art mode + TV in one is crazy 👀<br>👉 Which one would you guys pick: OLED for cinema vibes, QLED for brightness, or the Frame Pro for style?","🔥 Samsung is really flexing in 2025! Personally, I think the Frame Pro is the most slept-on — art mode + TV in one is crazy 👀
👉 Which one would you guys pick: OLED for cinema vibes, QLED for brightness, or the Frame Pro for style?",233,0,0,,2025-09-24T21:42:07Z,2025-09-24T21:42:07Z,none,True,0.019,neutral,0.475,samsung,,2025-10-05T14:43:44.230916
fE3Goap-Q1I,UgzmrDHwZqSouMEShyB4AaABAg,top_level,,2025-10-05T14:43:42.348673,@fabianragan8080,https://yt3.ggpht.com/ytc/AIdro_lKJL15GAEXwpyM-c1QvW14kPlfvl35AEMMhibeJpRm0Qk4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@fabianragan8080,UCoZ5IynONQ5SrWA6lYpx8ig,Qe65s94datxx mam taki kiedy w Polsce nowa aktualizacja oprogramowania.,Qe65s94datxx mam taki kiedy w Polsce nowa aktualizacja oprogramowania.,70,0,0,,2025-08-05T12:52:15Z,2025-08-05T12:52:15Z,none,True,0.0,neutral,0.0,,,2025-10-05T14:43:44.230916
Jfgi3X5jBY0,Ugwzame90TIjBYuUM4h4AaABAg,top_level,,2025-10-05T14:43:42.725656,@TechSteve,https://yt3.ggpht.com/5HMRGpuxyZBMLXf7rJ6yaD-QEs9IzQAOKCXCZY_lGX_C0FbrMBenBBU0kxc8fJpfF9_89s3Sf2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TechSteve,UCmHO0Rw7nBFK2233om_vyWA,"Here&#39;s the TV that I used in the video<br>Samsung S95F 83&quot; <a href=""https://geni.us/804H"">https://geni.us/804H</a><br>Samsung S95F 77&quot; <a href=""https://geni.us/AXQvoJK"">https://geni.us/AXQvoJK</a><br>Samsung S95F 65&quot; <a href=""https://geni.us/5P0TQUy"">https://geni.us/5P0TQUy</a> &quot;USED ON VIDEO&quot;<br>Samsung S95F 55&quot; <a href=""https://geni.us/0GgF"">https://geni.us/0GgF</a><br><br>➡ DISCLAIMER: This video and description contains affiliate links, The channel gets a small commission for purchases made via these links. <br>This helps the channel purchase more products for reviews and allow me to create better content for your viewing.","Here's the TV that I used in the video
Samsung S95F 83"" https://geni.us/804H
Samsung S95F 77"" https://geni.us/AXQvoJK
Samsung S95F 65"" https://geni.us/5P0TQUy ""USED ON VIDEO""
Samsung S95F 55"" https://geni.us/0GgF

➡ DISCLAIMER: This video and description contains affiliate links, The channel gets a small commission for purchases made via these links. 
This helps the channel purchase more products for reviews and allow me to create better content for your viewing.",668,0,0,,2025-09-19T20:34:06Z,2025-09-19T20:34:06Z,none,True,0.125,positive,0.467,samsung,,2025-10-05T14:43:44.231915
Jfgi3X5jBY0,Ugxi7gqnLNG5jTXudOd4AaABAg,top_level,,2025-10-05T14:43:42.725656,@hyperxflash,https://yt3.ggpht.com/hu4eDVsNDgyhT3sb7Q8HqngKekIotcn8PuKM9PSWpYrn9F42gxcYNHQClAo_764p8DyLuRE3kDw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hyperxflash,UC5XFqeEQmnXfGmUyGXIWhSg,Thanks Steve this is great and so is samsung 😎,Thanks Steve this is great and so is samsung 😎,46,2,0,,2025-09-19T23:31:10Z,2025-09-19T23:31:10Z,none,True,0.75,positive,0.475,samsung,,2025-10-05T14:43:44.231915
Jfgi3X5jBY0,UgwUvISwSsqKW82Y0Kh4AaABAg,top_level,,2025-10-05T14:43:42.725656,@eddiehollner8801,https://yt3.ggpht.com/ytc/AIdro_m6KIW6emxuIt_WZEoNTWa2ZdhAKyb0QGq2iOGNo29OzHg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@eddiehollner8801,UCsPtEV7wCZzRYoA88w9CUfg,Hey Steve,Hey Steve,9,1,0,,2025-09-22T20:19:37Z,2025-09-22T20:19:37Z,none,True,0.0,neutral,0.0,,,2025-10-05T14:43:44.231915
Jfgi3X5jBY0,UgziZ1JuYN0ip8hocxV4AaABAg,top_level,,2025-10-05T14:43:42.725656,@modriklife,https://yt3.ggpht.com/nGhFKEbrat8W3ykA846ZgRFzp5zD1abT6KLe6Eq9pOmYE1lLkqWsMrhIYqxAVivCzPcSbv53Zu4=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@modriklife,UCEcmn50cy5sHpj5GuO_fvFQ,Do these features work on samsung neo qled qn80f?<br>It’ll arrive today and i’m super excited to use it,"Do these features work on samsung neo qled qn80f?
It’ll arrive today and i’m super excited to use it",103,0,1,,2025-10-01T12:29:28Z,2025-10-01T12:29:28Z,none,True,0.177,positive,0.708,samsung,,2025-10-05T14:43:44.231915
Jfgi3X5jBY0,UgziZ1JuYN0ip8hocxV4AaABAg.ANj_4JEIPz4ANk6XfJ--fp,reply,UgziZ1JuYN0ip8hocxV4AaABAg,2025-10-05T14:43:42.725656,@TechSteve,https://yt3.ggpht.com/5HMRGpuxyZBMLXf7rJ6yaD-QEs9IzQAOKCXCZY_lGX_C0FbrMBenBBU0kxc8fJpfF9_89s3Sf2A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TechSteve,UCmHO0Rw7nBFK2233om_vyWA,some,some,4,0,0,,2025-10-01T17:30:35Z,2025-10-01T17:30:35Z,none,True,0.0,neutral,0.0,,,2025-10-05T14:43:44.231915
Jfgi3X5jBY0,Ugx3VpMYVlHcx4Q13uJ4AaABAg,top_level,,2025-10-05T14:43:42.725656,@BikashPanda-k4l,https://yt3.ggpht.com/ytc/AIdro_nSNiYSvPvCCpOaA3XQDR5Z1JbETTCUrC0epju2BYRcUAhWBpYB6ETxcv4epfmtCNjofw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@BikashPanda-k4l,UCcyVRA90vSD2LG7iq5Np3fw,Please review the LG G5 OLED,Please review the LG G5 OLED,28,0,1,,2025-09-21T07:19:57Z,2025-09-21T07:19:57Z,none,True,0.0,neutral,0.0,lg,,2025-10-05T14:43:44.232912
