video_id,comment_id,comment_type,parent_comment_id,comment_text_display,like_count,reply_count,published_at
kUNUI7eNscA,Ugy3M_pWHCHyd4o7Pb14AaABAg,top_level,,Volume button ko 2 baar daba do mute ho jayega,1703,30,2025-10-06T06:49:47Z
kUNUI7eNscA,Ugy3M_pWHCHyd4o7Pb14AaABAg.ANvqAjSVcVpANwkjq0bboB,reply,Ugy3M_pWHCHyd4o7Pb14AaABAg,No,21,0,2025-10-06T15:21:31Z
kUNUI7eNscA,Ugy3M_pWHCHyd4o7Pb14AaABAg.ANvqAjSVcVpANwoyDp698y,reply,Ugy3M_pWHCHyd4o7Pb14AaABAg,​@FinishFlexerofficialhota hai bro mere pass bhi yahi model hai,0,0,2025-10-06T15:58:26Z
kUNUI7eNscA,Ugy3M_pWHCHyd4o7Pb14AaABAg.ANvqAjSVcVpANwrrSsv2Kq,reply,Ugy3M_pWHCHyd4o7Pb14AaABAg,Yes,42,0,2025-10-06T16:23:44Z
kUNUI7eNscA,Ugy3M_pWHCHyd4o7Pb14AaABAg.ANvqAjSVcVpANx0mGL9UgF,reply,Ugy3M_pWHCHyd4o7Pb14AaABAg,Yes no,9,0,2025-10-06T17:50:24Z
kUNUI7eNscA,Ugy3M_pWHCHyd4o7Pb14AaABAg.ANvqAjSVcVpANx2BpcRVyt,reply,Ugy3M_pWHCHyd4o7Pb14AaABAg,No no yes yes,6,0,2025-10-06T18:02:46Z
kUNUI7eNscA,UgwL2smXsRX66TESgWR4AaABAg,top_level,,Its fun to see his every purchase ❤<br>I really enjoy it..,139,0,2025-10-06T14:24:03Z
kUNUI7eNscA,Ugz-yCTCh3Y1ysReGNx4AaABAg,top_level,,Baby from school 💀<br>Police is waiting outside 💀,222,8,2025-10-08T07:05:36Z
kUNUI7eNscA,Ugz-yCTCh3Y1ysReGNx4AaABAg.AO00_IcjXUCAO1uQoU_4fw,reply,Ugz-yCTCh3Y1ysReGNx4AaABAg,baby mtlb bacchi hogi,12,0,2025-10-09T00:41:37Z
kUNUI7eNscA,Ugz-yCTCh3Y1ysReGNx4AaABAg.AO00_IcjXUCAO2W-LevfkI,reply,Ugz-yCTCh3Y1ysReGNx4AaABAg,Uski beti hogi 😂,4,0,2025-10-09T06:18:39Z
kUNUI7eNscA,Ugz-yCTCh3Y1ysReGNx4AaABAg.AO00_IcjXUCAO3d1ZhiBZ-,reply,Ugz-yCTCh3Y1ysReGNx4AaABAg,​@kriishkriiss omg 😱🤯 hame to pata hi nhi tha ki uski beti hai 😱🤯🤯😱😱<br>Bhai sarcasm smjho thoda 🥀😔,7,0,2025-10-09T16:48:06Z
kUNUI7eNscA,Ugz-yCTCh3Y1ysReGNx4AaABAg.AO00_IcjXUCAO3dofh6X_Q,reply,Ugz-yCTCh3Y1ysReGNx4AaABAg,​@S.H.A.S.H.A.N.Knhi aata bhai smjh main sarcasm 😂,2,0,2025-10-09T16:54:56Z
kUNUI7eNscA,Ugz-yCTCh3Y1ysReGNx4AaABAg.AO00_IcjXUCAO8Uz31C7y3,reply,Ugz-yCTCh3Y1ysReGNx4AaABAg,Teacher bhi to ho skti aa 😂,2,0,2025-10-11T14:05:11Z
kUNUI7eNscA,UgxWneRwn2GwRuDa-L94AaABAg,top_level,,Fav gana badhiya tha🤣🤣,3,0,2025-10-07T12:10:35Z
